horizonte,posicao_encoder,posicao_relativa_horas,rotulo_posicao,peso_medio
1,0,-47,t-47,0.01873147301375866
1,1,-46,t-46,0.019184740260243416
1,2,-45,t-45,0.019775688648223877
1,3,-44,t-44,0.0202644020318985
1,4,-43,t-43,0.02059399150311947
1,5,-42,t-42,0.020799631252884865
1,6,-41,t-41,0.020921628922224045
1,7,-40,t-40,0.020987220108509064
1,8,-39,t-39,0.02101798541843891
1,9,-38,t-38,0.0210307314991951
1,10,-37,t-37,0.021032633259892464
1,11,-36,t-36,0.021025866270065308
1,12,-35,t-35,0.021009936928749084
1,13,-34,t-34,0.020985135808587074
1,14,-33,t-33,0.020952975377440453
1,15,-32,t-32,0.020922930911183357
1,16,-31,t-31,0.02089957520365715
1,17,-30,t-30,0.020884409546852112
1,18,-29,t-29,0.0208759605884552
1,19,-28,t-28,0.020871687680482864
1,20,-27,t-27,0.02087124064564705
1,21,-26,t-26,0.020877543836832047
1,22,-25,t-25,0.020887890830636024
1,23,-24,t-24,0.020897606387734413
1,24,-23,t-23,0.020902106538414955
1,25,-22,t-22,0.02089882828295231
1,26,-21,t-21,0.02088668942451477
1,27,-20,t-20,0.020873581990599632
1,28,-19,t-19,0.020864449441432953
1,29,-18,t-18,0.020861437544226646
1,30,-17,t-17,0.02086329273879528
1,31,-16,t-16,0.020867517217993736
1,32,-15,t-15,0.02087450958788395
1,33,-14,t-14,0.0208878256380558
1,34,-13,t-13,0.020906543359160423
1,35,-12,t-12,0.020927635952830315
1,36,-11,t-11,0.020947257056832314
1,37,-10,t-10,0.020962508395314217
1,38,-9,t-9,0.020973576232790947
1,39,-8,t-8,0.02098660171031952
1,40,-7,t-7,0.02100628800690174
1,41,-6,t-6,0.021035347133874893
1,42,-5,t-5,0.021072573959827423
1,43,-4,t-4,0.021114416420459747
1,44,-3,t-3,0.021161861717700958
1,45,-2,t-2,0.0212163794785738
1,46,-1,t-1,0.021274399012327194
1,47,0,t,0.021331729367375374
2,0,-47,t-47,0.018737999722361565
2,1,-46,t-46,0.01919165812432766
2,2,-45,t-45,0.019783273339271545
2,3,-44,t-44,0.020269572734832764
2,4,-43,t-43,0.020596737042069435
2,5,-42,t-42,0.020800422877073288
2,6,-41,t-41,0.02092287316918373
2,7,-40,t-40,0.020990388467907906
2,8,-39,t-39,0.021023057401180267
2,9,-38,t-38,0.02103353850543499
2,10,-37,t-37,0.02103414386510849
2,11,-36,t-36,0.02102762460708618
2,12,-35,t-35,0.021012425422668457
2,13,-34,t-34,0.020988382399082184
2,14,-33,t-33,0.02095847949385643
2,15,-32,t-32,0.020926902070641518
2,16,-31,t-31,0.020902449265122414
