epoch,val/mae,val/loss,model,color,run_id,lr_nominal,max_epochs,best_checkpoint_epoch,stop_epoch,lr
0,4.164623737335205,0.30700528621673584,LSTM direta,#4C78A8,f6c72dd1e8514c21bd4880f786797d72,0.007,36,15,23,7e-08
1,3.9502930641174316,0.2372795045375824,LSTM direta,#4C78A8,f6c72dd1e8514c21bd4880f786797d72,0.007,36,15,23,0.0023333800000000003
2,3.2646615505218506,0.17023120820522308,LSTM direta,#4C78A8,f6c72dd1e8514c21bd4880f786797d72,0.007,36,15,23,0.00466669
3,4.470179557800293,0.2525572180747986,LSTM direta,#4C78A8,f6c72dd1e8514c21bd4880f786797d72,0.007,36,15,23,0.007
4,3.5216691493988037,0.17971564829349518,LSTM direta,#4C78A8,f6c72dd1e8514c21bd4880f786797d72,0.007,36,15,23,0.006984310211715738
5,2.971874952316284,0.14479267597198486,LSTM direta,#4C78A8,f6c72dd1e8514c21bd4880f786797d72,0.007,36,15,23,0.006937382936015279
6,3.0913426876068115,0.13787345588207245,LSTM direta,#4C78A8,f6c72dd1e8514c21bd4880f786797d72,0.007,36,15,23,0.0068596431535742335
7,3.1127994060516357,0.14073988795280457,LSTM direta,#4C78A8,f6c72dd1e8514c21bd4880f786797d72,0.007,36,15,23,0.0067517948879006915
8,2.9012796878814697,0.12791606783866882,LSTM direta,#4C78A8,f6c72dd1e8514c21bd4880f786797d72,0.007,36,15,23,0.00661481482958931
9,2.9046263694763184,0.12722986936569214,LSTM direta,#4C78A8,f6c72dd1e8514c21bd4880f786797d72,0.007,36,15,23,0.006449943491260043
10,2.91373610496521,0.12848681211471558,LSTM direta,#4C78A8,f6c72dd1e8514c21bd4880f786797d72,0.007,36,15,23,0.0062586739732837585
11,2.9070067405700684,0.12792779505252838,LSTM direta,#4C78A8,f6c72dd1e8514c21bd4880f786797d72,0.007,36,15,23,0.006042738442034068
12,2.924690008163452,0.13204637169837952,LSTM direta,#4C78A8,f6c72dd1e8514c21bd4880f786797d72,0.007,36,15,23,0.005804092443120413
13,3.101799964904785,0.14907371997833252,LSTM direta,#4C78A8,f6c72dd1e8514c21bd4880f786797d72,0.007,36,15,23,0.005544897191664202
14,3.1238279342651367,0.15480470657348633,LSTM direta,#4C78A8,f6c72dd1e8514c21bd4880f786797d72,0.007,36,15,23,0.0052675000000000005
15,2.8903794288635254,0.1325218230485916,LSTM direta,#4C78A8,f6c72dd1e8514c21bd4880f786797d72,0.007,36,15,23,0.004974413020051537
16,3.048948287963867,0.14935949444770813,LSTM direta,#4C78A8,f6c72dd1e8514c21bd4880f786797d72,0.007,36,15,23,0.004668290492894867
17,2.9634034633636475,0.13995227217674255,LSTM direta,#4C78A8,f6c72dd1e8514c21bd4880f786797d72,0.007,36,15,23,0.0043519047115401655
18,2.9782097339630127,0.1451261341571808,LSTM direta,#4C78A8,f6c72dd1e8514c21bd4880f786797d72,0.007,36,15,23,0.004028120914616934
19,2.9735915660858154,0.14876192808151245,LSTM direta,#4C78A8,f6c72dd1e8514c21bd4880f786797d72,0.007,36,15,23,0.0036998713383292682
20,3.275259017944336,0.17447930574417114,LSTM direta,#4C78A8,f6c72dd1e8514c21bd4880f786797d72,0.007,36,15,23,0.0033701286616707334
21,3.128223180770874,0.17591668665409088,LSTM direta,#4C78A8,f6c72dd1e8514c21bd4880f786797d72,0.007,36,15,23,0.0030418790853830677
22,3.1894114017486572,0.18103301525115967,LSTM direta,#4C78A8,f6c72dd1e8514c21bd4880f786797d72,0.007,36,15,23,0.0027180952884598344
23,3.1773273944854736,0.17392124235630035,LSTM direta,#4C78A8,f6c72dd1e8514c21bd4880f786797d72,0.007,36,15,23,0.0024017095071051345
0,4.1569294929504395,0.2416708767414093,LSTM recursiva,#B279A2,033e96cedbb640159529bdfca4a3b5f3,0.0035,36,14,22,3.5e-08
1,4.5228495597839355,0.26791855692863464,LSTM recursiva,#B279A2,033e96cedbb640159529bdfca4a3b5f3,0.0035,36,14,22,0.0011666900000000002
2,4.927224636077881,0.2882620394229889,LSTM recursiva,#B279A2,033e96cedbb640159529bdfca4a3b5f3,0.0035,36,14,22,0.002333345
3,4.909996032714844,0.2879762649536133,LSTM recursiva,#B279A2,033e96cedbb640159529bdfca4a3b5f3,0.0035,36,14,22,0.0035
4,4.096366882324219,0.20728260278701782,LSTM recursiva,#B279A2,033e96cedbb640159529bdfca4a3b5f3,0.0035,36,14,22,0.003492155105857869
5,4.739695072174072,0.2686195373535156,LSTM recursiva,#B279A2,033e96cedbb640159529bdfca4a3b5f3,0.0035,36,14,22,0.0034686914680076395
6,3.7006871700286865,0.18973085284233093,LSTM recursiva,#B279A2,033e96cedbb640159529bdfca4a3b5f3,0.0035,36,14,22,0.0034298215767871168
7,3.6177408695220947,0.16089412569999695,LSTM recursiva,#B279A2,033e96cedbb640159529bdfca4a3b5f3,0.0035,36,14,22,0.0033758974439503458
8,3.2844467163085938,0.14829692244529724,LSTM recursiva,#B279A2,033e96cedbb640159529bdfca4a3b5f3,0.0035,36,14,22,0.003307407414794655
9,3.293046474456787,0.14479582011699677,LSTM recursiva,#B279A2,033e96cedbb640159529bdfca4a3b5f3,0.0035,36,14,22,0.0032249717456300214
10,3.180117130279541,0.13928133249282837,LSTM recursiva,#B279A2,033e96cedbb640159529bdfca4a3b5f3,0.0035,36,14,22,0.0031293369866418792
11,3.0495009422302246,0.13039831817150116,LSTM recursiva,#B279A2,033e96cedbb640159529bdfca4a3b5f3,0.0035,36,14,22,0.003021369221017034
12,2.969528913497925,0.11979396641254425,LSTM recursiva,#B279A2,033e96cedbb640159529bdfca4a3b5f3,0.0035,36,14,22,0.0029020462215602065
13,2.871039628982544,0.11545118689537048,LSTM recursiva,#B279A2,033e96cedbb640159529bdfca4a3b5f3,0.0035,36,14,22,0.002772448595832101
14,2.835768222808838,0.11283925175666809,LSTM recursiva,#B279A2,033e96cedbb640159529bdfca4a3b5f3,0.0035,36,14,22,0.0026337500000000002
15,2.849966049194336,0.11276070028543472,LSTM recursiva,#B279A2,033e96cedbb640159529bdfca4a3b5f3,0.0035,36,14,22,0.0024872065100257686
16,2.843703269958496,0.1129850223660469,LSTM recursiva,#B279A2,033e96cedbb640159529bdfca4a3b5f3,0.0035,36,14,22,0.0023341452464474334
17,2.875849485397339,0.11508285999298096,LSTM recursiva,#B279A2,033e96cedbb640159529bdfca4a3b5f3,0.0035,36,14,22,0.0021759523557700828
18,2.9005215167999268,0.11647851765155792,LSTM recursiva,#B279A2,033e96cedbb640159529bdfca4a3b5f3,0.0035,36,14,22,0.002014060457308467
19,2.861406087875366,0.11347661912441254,LSTM recursiva,#B279A2,033e96cedbb640159529bdfca4a3b5f3,0.0035,36,14,22,0.0018499356691646341
20,2.873953342437744,0.11584977805614471,LSTM recursiva,#B279A2,033e96cedbb640159529bdfca4a3b5f3,0.0035,36,14,22,0.0016850643308353667
21,2.869126081466675,0.11425033211708069,LSTM recursiva,#B279A2,033e96cedbb640159529bdfca4a3b5f3,0.0035,36,14,22,0.0015209395426915339
22,2.8537347316741943,0.11275818943977356,LSTM recursiva,#B279A2,033e96cedbb640159529bdfca4a3b5f3,0.0035,36,14,22,0.0013590476442299172
0,5.434925079345703,0.7445278763771057,Seq2Seq atenção + L1 ponderada,#54A24B,997b1bd782824b4ab75b8f89f4ee35c7,0.007,48,18,26,7e-08
1,4.939257621765137,0.6663616299629211,Seq2Seq atenção + L1 ponderada,#54A24B,997b1bd782824b4ab75b8f89f4ee35c7,0.007,48,18,26,0.0023333800000000003
2,3.6057376861572266,0.5013682246208191,Seq2Seq atenção + L1 ponderada,#54A24B,997b1bd782824b4ab75b8f89f4ee35c7,0.007,48,18,26,0.00466669
3,3.3048746585845947,0.46020522713661194,Seq2Seq atenção + L1 ponderada,#54A24B,997b1bd782824b4ab75b8f89f4ee35c7,0.007,48,18,26,0.007
4,3.1537179946899414,0.4384560286998749,Seq2Seq atenção + L1 ponderada,#54A24B,997b1bd782824b4ab75b8f89f4ee35c7,0.007,48,18,26,0.006991559434150291
5,3.165548324584961,0.444837361574173,Seq2Seq atenção + L1 ponderada,#54A24B,997b1bd782824b4ab75b8f89f4ee35c7,0.007,48,18,26,0.006966278858189541
6,3.0309653282165527,0.42335766553878784,Seq2Seq atenção + L1 ponderada,#54A24B,997b1bd782824b4ab75b8f89f4ee35c7,0.007,48,18,26,0.006924281436542637
7,3.011122941970825,0.41968873143196106,Seq2Seq atenção + L1 ponderada,#54A24B,997b1bd782824b4ab75b8f89f4ee35c7,0.007,48,18,26,0.006865771776426275
8,3.0358803272247314,0.4258878231048584,Seq2Seq atenção + L1 ponderada,#54A24B,997b1bd782824b4ab75b8f89f4ee35c7,0.007,48,18,26,0.006791034931023173
9,3.023027181625366,0.4229622185230255,Seq2Seq atenção + L1 ponderada,#54A24B,997b1bd782824b4ab75b8f89f4ee35c7,0.007,48,18,26,0.006700435010731612
10,2.9928650856018066,0.4175775647163391,Seq2Seq atenção + L1 ponderada,#54A24B,997b1bd782824b4ab75b8f89f4ee35c7,0.007,48,18,26,0.006594413409256182
11,2.9779882431030273,0.41637274622917175,Seq2Seq atenção + L1 ponderada,#54A24B,997b1bd782824b4ab75b8f89f4ee35c7,0.007,48,18,26,0.006473486653182016
12,2.9797117710113525,0.41627800464630127,Seq2Seq atenção + L1 ponderada,#54A24B,997b1bd782824b4ab75b8f89f4ee35c7,0.007,48,18,26,0.006338243885509193
13,2.9767119884490967,0.41621944308280945,Seq2Seq atenção + L1 ponderada,#54A24B,997b1bd782824b4ab75b8f89f4ee35c7,0.007,48,18,26,0.006189343995407258
14,2.9742271900177,0.415547639131546,Seq2Seq atenção + L1 ponderada,#54A24B,997b1bd782824b4ab75b8f89f4ee35c7,0.007,48,18,26,0.006027512408173426
15,2.9660162925720215,0.41412171721458435,Seq2Seq atenção + L1 ponderada,#54A24B,997b1bd782824b4ab75b8f89f4ee35c7,0.007,48,18,26,0.0058535375510334435
16,2.9661757946014404,0.4141121804714203,Seq2Seq atenção + L1 ponderada,#54A24B,997b1bd782824b4ab75b8f89f4ee35c7,0.007,48,18,26,0.0056682670120034055
17,2.960566282272339,0.412823885679245,Seq2Seq atenção + L1 ponderada,#54A24B,997b1bd782824b4ab75b8f89f4ee35c7,0.007,48,18,26,0.005472603410526138
18,2.9498026371002197,0.4120330810546875,Seq2Seq atenção + L1 ponderada,#54A24B,997b1bd782824b4ab75b8f89f4ee35c7,0.007,48,18,26,0.0052675000000000005
19,2.961144208908081,0.41340023279190063,Seq2Seq atenção + L1 ponderada,#54A24B,997b1bd782824b4ab75b8f89f4ee35c7,0.007,48,18,26,0.005053956023624153
20,2.9749667644500732,0.41418421268463135,Seq2Seq atenção + L1 ponderada,#54A24B,997b1bd782824b4ab75b8f89f4ee35c7,0.007,48,18,26,0.004833011846186136
21,2.957505226135254,0.412891685962677,Seq2Seq atenção + L1 ponderada,#54A24B,997b1bd782824b4ab75b8f89f4ee35c7,0.007,48,18,26,0.004605743885509193
22,2.9524903297424316,0.41200968623161316,Seq2Seq atenção + L1 ponderada,#54A24B,997b1bd782824b4ab75b8f89f4ee35c7,0.007,48,18,26,0.004373259368252848
23,2.9946916103363037,0.41535887122154236,Seq2Seq atenção + L1 ponderada,#54A24B,997b1bd782824b4ab75b8f89f4ee35c7,0.007,48,18,26,0.004136690935615914
24,2.9639692306518555,0.4141099154949188,Seq2Seq atenção + L1 ponderada,#54A24B,997b1bd782824b4ab75b8f89f4ee35c7,0.007,48,18,26,0.00389719112522242
25,2.978928327560425,0.4144974946975708,Seq2Seq atenção + L1 ponderada,#54A24B,997b1bd782824b4ab75b8f89f4ee35c7,0.007,48,18,26,0.0036559267560741667
26,2.9894227981567383,0.4163421392440796,Seq2Seq atenção + L1 ponderada,#54A24B,997b1bd782824b4ab75b8f89f4ee35c7,0.007,48,18,26,0.0034140732439258354
